facility_type,floor_area,year_built,State_Factor,site_eui,Year_Factor,building_class,weather_file,gisjoin,january_min_temp,january_avg_temp,january_max_temp,february_min_temp,february_avg_temp,february_max_temp,march_min_temp,march_avg_temp,march_max_temp,april_min_temp,april_avg_temp,april_max_temp,may_min_temp,may_avg_temp,may_max_temp,june_min_temp,june_avg_temp,june_max_temp,july_min_temp,july_avg_temp,july_max_temp,august_min_temp,august_avg_temp,august_max_temp,september_min_temp,september_avg_temp,september_max_temp,october_min_temp,october_avg_temp,october_max_temp,november_min_temp,november_avg_temp,november_max_temp,december_min_temp,december_avg_temp,december_max_temp,avg_temp,cooling_degree_days,heating_degree_days,ELEVATION,high_energy_usage
Multi-Family with 5+ Units,1682.0,,State_NY,12.009506737113208,Year_1,Residential,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,0
Multi-Family with 2 - 4 Units,854.0,,State_NY,117.41797658796656,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600470,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,1
Multi-Family with 5+ Units,322.0,,State_NY,60.97823168399428,Year_1,Residential,USA_NY_Albany.County.Airpo.725180_2018.epw,G3600910,-7.959999999999994,23.888092741935488,62.96,3.919999999999998,33.069504464285714,69.98,10.04,34.41444758064516,55.04,20.48,41.824983333333336,69.98,42.98,64.49072177419355,89.06,48.245000000000005,68.39626369047619,93.47,51.98,76.70946255760369,96.98,57.02,74.6700685483871,95.54,44.96,66.82144285714286,93.92,28.64,51.146818548387095,82.94,6.080000000000002,37.265574032738094,62.96,14.0,32.82130933179724,61.58,50.56866464652642,1024.4095000000002,6318.575110539596,85.4,0
Single-Family Detached,2678.0,,State_NY,105.19748512432145,Year_1,Residential,USA_NY_Albany.County.Airpo.725180_2018.epw,G3600010,-7.959999999999994,23.888092741935488,62.96,3.919999999999998,33.069504464285714,69.98,10.04,34.41444758064516,55.04,20.48,41.824983333333336,69.98,42.98,64.49072177419355,89.06,48.245000000000005,68.39626369047619,93.47,51.98,76.70946255760369,96.98,57.02,74.6700685483871,95.54,44.96,66.82144285714286,93.92,28.64,51.146818548387095,82.94,6.080000000000002,37.265574032738094,62.96,14.0,32.82130933179724,61.58,50.56866464652642,1024.4095000000002,6318.575110539596,85.4,1
Multi-Family with 5+ Units,623.0,,State_NY,83.2920949659664,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600810,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Warehouse and Storage,75000.0,1917.0,State_NY,42.71367402222221,Year_1,Commercial,USA_NY_Rochester.Monroe.Co.725290_2018.epw,G3600550,-5.980000000000004,25.70868202764977,60.08,10.04,33.825954670329665,69.98,17.06,32.500828629032256,53.06,21.92,40.3030383470696,68.99000000000001,39.92,65.18956048387096,91.94,48.02,68.02096465201467,91.94,53.06,75.20207392473118,94.01,53.96,73.47522806628855,93.02,42.98,67.5270227106227,93.02,32.0,51.01574357497341,86.0,5.0,36.58105461309524,65.03,19.04,33.727009571074085,57.92,50.36022480838226,963.2006076007326,6323.457356889036,164.5,0
Single-Family Detached,5587.0,,State_NY,9.767849271546693,Year_1,Residential,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,0
Multi-Family with 5+ Units,1138.0,,State_NY,41.80314343670288,Year_1,Residential,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,0
Single-Family Detached,2678.0,,State_NY,29.61350337671336,Year_1,Residential,USA_NY_Penn.Yan.725194_2018.epw,G3600690,-7.059999999999995,24.225786097796888,59.0,8.96,33.34361670918367,68.0,10.04,31.34865624630746,53.33,21.02,40.07105040584416,71.06,39.92,64.1595579286305,87.98,48.02,66.5303050595238,91.94,50.0,73.11191532258064,93.02,55.04,72.18093433179723,89.96000000000001,46.04,65.9072570970696,91.04,30.02,50.85476324884793,82.94,3.02,35.65574812271062,62.96,14.0,33.30478773041475,62.96,49.32419319591569,786.1998028846153,6529.849992897129,267.4,0
Healthcare,7500.0,2009.0,State_NY,117.6847086,Year_1,Commercial,USA_NY_Albany.County.Airpo.725180_2018.epw,G3600830,-7.959999999999994,23.888092741935488,62.96,3.919999999999998,33.069504464285714,69.98,10.04,34.41444758064516,55.04,20.48,41.824983333333336,69.98,42.98,64.49072177419355,89.06,48.245000000000005,68.39626369047619,93.47,51.98,76.70946255760369,96.98,57.02,74.6700685483871,95.54,44.96,66.82144285714286,93.92,28.64,51.146818548387095,82.94,6.080000000000002,37.265574032738094,62.96,14.0,32.82130933179724,61.58,50.56866464652642,1024.4095000000002,6318.575110539596,85.4,0
Office,3000.0,1864.0,State_NY,86.1281005,Year_1,Commercial,USA_NY_Penn.Yan.725194_2018.epw,G3600990,-7.059999999999995,24.225786097796888,59.0,8.96,33.34361670918367,68.0,10.04,31.34865624630746,53.33,21.02,40.07105040584416,71.06,39.92,64.1595579286305,87.98,48.02,66.5303050595238,91.94,50.0,73.11191532258064,93.02,55.04,72.18093433179723,89.96000000000001,46.04,65.9072570970696,91.04,30.02,50.85476324884793,82.94,3.02,35.65574812271062,62.96,14.0,33.30478773041475,62.96,49.32419319591569,786.1998028846153,6529.849992897129,267.4,0
